DateKey,Date,Day,Month,Quarter,Year,IsWeekend,DayOfWeek,WeekOfYear
20240414,2024-04-14,14,4,2,2024,1,7,15
20240415,2024-04-15,15,4,2,2024,0,1,15
20240416,2024-04-16,16,4,2,2024,0,2,15
20240417,2024-04-17,17,4,2,2024,0,3,15
20240418,2024-04-18,18,4,2,2024,0,4,15
20240419,2024-04-19,19,4,2,2024,0,5,15
20240420,2024-04-20,20,4,2,2024,1,6,15
20240421,2024-04-21,21,4,2,2024,1,7,16
20240422,2024-04-22,22,4,2,2024,0,1,16
20240423,2024-04-23,23,4,2,2024,0,2,16
20240424,2024-04-24,24,4,2,2024,0,3,16
20240425,2024-04-25,25,4,2,2024,0,4,16
20240426,2024-04-26,26,4,2,2024,0,5,16
20240427,2024-04-27,27,4,2,2024,1,6,16
20240428,2024-04-28,28,4,2,2024,1,7,17
20240429,2024-04-29,29,4,2,2024,0,1,17
20240430,2024-04-30,30,4,2,2024,0,2,17
20240501,2024-05-01,1,5,2,2024,0,3,17
20240502,2024-05-02,2,5,2,2024,0,4,17
20240503,2024-05-03,3,5,2,2024,0,5,17
20240504,2024-05-04,4,5,2,2024,1,6,17
20240505,2024-05-05,5,5,2,2024,1,7,18
20240506,2024-05-06,6,5,2,2024,0,1,18
20240507,2024-05-07,7,5,2,2024,0,2,18
20240508,2024-05-08,8,5,2,2024,0,3,18
20240509,2024-05-09,9,5,2,2024,0,4,18
20240510,2024-05-10,10,5,2,2024,0,5,18
20240511,2024-05-11,11,5,2,2024,1,6,18
20240512,2024-05-12,12,5,2,2024,1,7,19
20240513,2024-05-13,13,5,2,2024,0,1,19
20240514,2024-05-14,14,5,2,2024,0,2,19
20240515,2024-05-15,15,5,2,2024,0,3,19
20240516,2024-05-16,16,5,2,2024,0,4,19
20240517,2024-05-17,17,5,2,2024,0,5,19
20240518,2024-05-18,18,5,2,2024,1,6,19
20240519,2024-05-19,19,5,2,2024,1,7,20
20240520,2024-05-20,20,5,2,2024,0,1,20
20240521,2024-05-21,21,5,2,2024,0,2,20
20240522,2024-05-22,22,5,2,2024,0,3,20
20240523,2024-05-23,23,5,2,2024,0,4,20
20240524,2024-05-24,24,5,2,2024,0,5,20
20240525,2024-05-25,25,5,2,2024,1,6,20
20240526,2024-05-26,26,5,2,2024,1,7,21
20240527,2024-05-27,27,5,2,2024,0,1,21
20240528,2024-05-28,28,5,2,2024,0,2,21
20240529,2024-05-29,29,5,2,2024,0,3,21
20240530,2024-05-30,30,5,2,2024,0,4,21
20240531,2024-05-31,31,5,2,2024,0,5,21
20240601,2024-06-01,1,6,2,2024,1,6,21
20240602,2024-06-02,2,6,2,2024,1,7,22
20240603,2024-06-03,3,6,2,2024,0,1,22
20240604,2024-06-04,4,6,2,2024,0,2,22
20240605,2024-06-05,5,6,2,2024,0,3,22
20240606,2024-06-06,6,6,2,2024,0,4,22
20240607,2024-06-07,7,6,2,2024,0,5,22
20240608,2024-06-08,8,6,2,2024,1,6,22
20240609,2024-06-09,9,6,2,2024,1,7,23
20240610,2024-06-10,10,6,2,2024,0,1,23
20240611,2024-06-11,11,6,2,2024,0,2,23
20240612,2024-06-12,12,6,2,2024,0,3,23
20240613,2024-06-13,13,6,2,2024,0,4,23
20240614,2024-06-14,14,6,2,2024,0,5,23
20240615,2024-06-15,15,6,2,2024,1,6,23
20240616,2024-06-16,16,6,2,2024,1,7,24
20240617,2024-06-17,17,6,2,2024,0,1,24
20240618,2024-06-18,18,6,2,2024,0,2,24
20240619,2024-06-19,19,6,2,2024,0,3,24
20240620,2024-06-20,20,6,2,2024,0,4,24
20240621,2024-06-21,21,6,2,2024,0,5,24
20240622,2024-06-22,22,6,2,2024,1,6,24
20240623,2024-06-23,23,6,2,2024,1,7,25
20240624,2024-06-24,24,6,2,2024,0,1,25
20240625,2024-06-25,25,6,2,2024,0,2,25
20240626,2024-06-26,26,6,2,2024,0,3,25
20240627,2024-06-27,27,6,2,2024,0,4,25
20240628,2024-06-28,28,6,2,2024,0,5,25
20240629,2024-06-29,29,6,2,2024,1,6,25
20240630,2024-06-30,30,6,2,2024,1,7,26
20240701,2024-07-01,1,7,3,2024,0,1,26
20240702,2024-07-02,2,7,3,2024,0,2,26
20240703,2024-07-03,3,7,3,2024,0,3,26
20240704,2024-07-04,4,7,3,2024,0,4,26
20240705,2024-07-05,5,7,3,2024,0,5,26
20240706,2024-07-06,6,7,3,2024,1,6,26
20240707,2024-07-07,7,7,3,2024,1,7,27
20240708,2024-07-08,8,7,3,2024,0,1,27
20240709,2024-07-09,9,7,3,2024,0,2,27
20240710,2024-07-10,10,7,3,2024,0,3,27
20240711,2024-07-11,11,7,3,2024,0,4,27
20240712,2024-07-12,12,7,3,2024,0,5,27
20240713,2024-07-13,13,7,3,2024,1,6,27
20240714,2024-07-14,14,7,3,2024,1,7,28
20240715,2024-07-15,15,7,3,2024,0,1,28
20240716,2024-07-16,16,7,3,2024,0,2,28
20240717,2024-07-17,17,7,3,2024,0,3,28
20240718,2024-07-18,18,7,3,2024,0,4,28
20240719,2024-07-19,19,7,3,2024,0,5,28
20240720,2024-07-20,20,7,3,2024,1,6,28
20240721,2024-07-21,21,7,3,2024,1,7,29
20240722,2024-07-22,22,7,3,2024,0,1,29
20240723,2024-07-23,23,7,3,2024,0,2,29
20240724,2024-07-24,24,7,3,2024,0,3,29
20240725,2024-07-25,25,7,3,2024,0,4,29
20240726,2024-07-26,26,7,3,2024,0,5,29
20240727,2024-07-27,27,7,3,2024,1,6,29
20240728,2024-07-28,28,7,3,2024,1,7,30
20240729,2024-07-29,29,7,3,2024,0,1,30
20240730,2024-07-30,30,7,3,2024,0,2,30
20240731,2024-07-31,31,7,3,2024,0,3,30
20240801,2024-08-01,1,8,3,2024,0,4,30
20240802,2024-08-02,2,8,3,2024,0,5,30
20240803,2024-08-03,3,8,3,2024,1,6,30
20240804,2024-08-04,4,8,3,2024,1,7,31
20240805,2024-08-05,5,8,3,2024,0,1,31
20240806,2024-08-06,6,8,3,2024,0,2,31
20240807,2024-08-07,7,8,3,2024,0,3,31
20240808,2024-08-08,8,8,3,2024,0,4,31
20240809,2024-08-09,9,8,3,2024,0,5,31
20240810,2024-08-10,10,8,3,2024,1,6,31
20240811,2024-08-11,11,8,3,2024,1,7,32
20240812,2024-08-12,12,8,3,2024,0,1,32
20240813,2024-08-13,13,8,3,2024,0,2,32
20240814,2024-08-14,14,8,3,2024,0,3,32
20240815,2024-08-15,15,8,3,2024,0,4,32
20240816,2024-08-16,16,8,3,2024,0,5,32
20240817,2024-08-17,17,8,3,2024,1,6,32
20240818,2024-08-18,18,8,3,2024,1,7,33
20240819,2024-08-19,19,8,3,2024,0,1,33
20240820,2024-08-20,20,8,3,2024,0,2,33
20240821,2024-08-21,21,8,3,2024,0,3,33
20240822,2024-08-22,22,8,3,2024,0,4,33
20240823,2024-08-23,23,8,3,2024,0,5,33
20240824,2024-08-24,24,8,3,2024,1,6,33
20240825,2024-08-25,25,8,3,2024,1,7,34
20240826,2024-08-26,26,8,3,2024,0,1,34
20240827,2024-08-27,27,8,3,2024,0,2,34
20240828,2024-08-28,28,8,3,2024,0,3,34
20240829,2024-08-29,29,8,3,2024,0,4,34
20240830,2024-08-30,30,8,3,2024,0,5,34
20240831,2024-08-31,31,8,3,2024,1,6,34
20240901,2024-09-01,1,9,3,2024,1,7,35
20240902,2024-09-02,2,9,3,2024,0,1,35
20240903,2024-09-03,3,9,3,2024,0,2,35
20240904,2024-09-04,4,9,3,2024,0,3,35
20240905,2024-09-05,5,9,3,2024,0,4,35
20240906,2024-09-06,6,9,3,2024,0,5,35
20240907,2024-09-07,7,9,3,2024,1,6,35
20240908,2024-09-08,8,9,3,2024,1,7,36
20240909,2024-09-09,9,9,3,2024,0,1,36
20240910,2024-09-10,10,9,3,2024,0,2,36
20240911,2024-09-11,11,9,3,2024,0,3,36
20240912,2024-09-12,12,9,3,2024,0,4,36
20240913,2024-09-13,13,9,3,2024,0,5,36
20240914,2024-09-14,14,9,3,2024,1,6,36
20240915,2024-09-15,15,9,3,2024,1,7,37
20240916,2024-09-16,16,9,3,2024,0,1,37
20240917,2024-09-17,17,9,3,2024,0,2,37
20240918,2024-09-18,18,9,3,2024,0,3,37
20240919,2024-09-19,19,9,3,2024,0,4,37
20240920,2024-09-20,20,9,3,2024,0,5,37
20240921,2024-09-21,21,9,3,2024,1,6,37
20240922,2024-09-22,22,9,3,2024,1,7,38
20240923,2024-09-23,23,9,3,2024,0,1,38
20240924,2024-09-24,24,9,3,2024,0,2,38
20240925,2024-09-25,25,9,3,2024,0,3,38
20240926,2024-09-26,26,9,3,2024,0,4,38
20240927,2024-09-27,27,9,3,2024,0,5,38
20240928,2024-09-28,28,9,3,2024,1,6,38
20240929,2024-09-29,29,9,3,2024,1,7,39
20240930,2024-09-30,30,9,3,2024,0,1,39
20241001,2024-10-01,1,10,4,2024,0,2,39
20241002,2024-10-02,2,10,4,2024,0,3,39
20241003,2024-10-03,3,10,4,2024,0,4,39
20241004,2024-10-04,4,10,4,2024,0,5,39
20241005,2024-10-05,5,10,4,2024,1,6,39
20241006,2024-10-06,6,10,4,2024,1,7,40
20241007,2024-10-07,7,10,4,2024,0,1,40
20241008,2024-10-08,8,10,4,2024,0,2,40
20241009,2024-10-09,9,10,4,2024,0,3,40
20241010,2024-10-10,10,10,4,2024,0,4,40
20241011,2024-10-11,11,10,4,2024,0,5,40
20241012,2024-10-12,12,10,4,2024,1,6,40
20241013,2024-10-13,13,10,4,2024,1,7,41
20241014,2024-10-14,14,10,4,2024,0,1,41
20241015,2024-10-15,15,10,4,2024,0,2,41
20241016,2024-10-16,16,10,4,2024,0,3,41
20241017,2024-10-17,17,10,4,2024,0,4,41
20241018,2024-10-18,18,10,4,2024,0,5,41
20241019,2024-10-19,19,10,4,2024,1,6,41
20241020,2024-10-20,20,10,4,2024,1,7,42
20241021,2024-10-21,21,10,4,2024,0,1,42
20241022,2024-10-22,22,10,4,2024,0,2,42
20241023,2024-10-23,23,10,4,2024,0,3,42
20241024,2024-10-24,24,10,4,2024,0,4,42
20241025,2024-10-25,25,10,4,2024,0,5,42
20241026,2024-10-26,26,10,4,2024,1,6,42
20241027,2024-10-27,27,10,4,2024,1,7,43
20241028,2024-10-28,28,10,4,2024,0,1,43
20241029,2024-10-29,29,10,4,2024,0,2,43
20241030,2024-10-30,30,10,4,2024,0,3,43
20241031,2024-10-31,31,10,4,2024,0,4,43
20241101,2024-11-01,1,11,4,2024,0,5,43
20241102,2024-11-02,2,11,4,2024,1,6,43
20241103,2024-11-03,3,11,4,2024,1,7,44
20241104,2024-11-04,4,11,4,2024,0,1,44
20241105,2024-11-05,5,11,4,2024,0,2,44
20241106,2024-11-06,6,11,4,2024,0,3,44
20241107,2024-11-07,7,11,4,2024,0,4,44
20241108,2024-11-08,8,11,4,2024,0,5,44
20241109,2024-11-09,9,11,4,2024,1,6,44
20241110,2024-11-10,10,11,4,2024,1,7,45
20241111,2024-11-11,11,11,4,2024,0,1,45
20241112,2024-11-12,12,11,4,2024,0,2,45
20241113,2024-11-13,13,11,4,2024,0,3,45
20241114,2024-11-14,14,11,4,2024,0,4,45
20241115,2024-11-15,15,11,4,2024,0,5,45
20241116,2024-11-16,16,11,4,2024,1,6,45
20241117,2024-11-17,17,11,4,2024,1,7,46
20241118,2024-11-18,18,11,4,2024,0,1,46
20241119,2024-11-19,19,11,4,2024,0,2,46
20241120,2024-11-20,20,11,4,2024,0,3,46
20241121,2024-11-21,21,11,4,2024,0,4,46
20241122,2024-11-22,22,11,4,2024,0,5,46
20241123,2024-11-23,23,11,4,2024,1,6,46
20241124,2024-11-24,24,11,4,2024,1,7,47
20241125,2024-11-25,25,11,4,2024,0,1,47
20241126,2024-11-26,26,11,4,2024,0,2,47
20241127,2024-11-27,27,11,4,2024,0,3,47
20241128,2024-11-28,28,11,4,2024,0,4,47
20241129,2024-11-29,29,11,4,2024,0,5,47
20241130,2024-11-30,30,11,4,2024,1,6,47
20241201,2024-12-01,1,12,4,2024,1,7,48
20241202,2024-12-02,2,12,4,2024,0,1,48
20241203,2024-12-03,3,12,4,2024,0,2,48
20241204,2024-12-04,4,12,4,2024,0,3,48
20241205,2024-12-05,5,12,4,2024,0,4,48
20241206,2024-12-06,6,12,4,2024,0,5,48
20241207,2024-12-07,7,12,4,2024,1,6,48
20241208,2024-12-08,8,12,4,2024,1,7,49
20241209,2024-12-09,9,12,4,2024,0,1,49
20241210,2024-12-10,10,12,4,2024,0,2,49
20241211,2024-12-11,11,12,4,2024,0,3,49
20241212,2024-12-12,12,12,4,2024,0,4,49
20241213,2024-12-13,13,12,4,2024,0,5,49
20241214,2024-12-14,14,12,4,2024,1,6,49
20241215,2024-12-15,15,12,4,2024,1,7,50
20241216,2024-12-16,16,12,4,2024,0,1,50
20241217,2024-12-17,17,12,4,2024,0,2,50
20241218,2024-12-18,18,12,4,2024,0,3,50
20241219,2024-12-19,19,12,4,2024,0,4,50
20241220,2024-12-20,20,12,4,2024,0,5,50
20241221,2024-12-21,21,12,4,2024,1,6,50
20241222,2024-12-22,22,12,4,2024,1,7,51
20241223,2024-12-23,23,12,4,2024,0,1,51
20241224,2024-12-24,24,12,4,2024,0,2,51
20241225,2024-12-25,25,12,4,2024,0,3,51
20241226,2024-12-26,26,12,4,2024,0,4,51
20241227,2024-12-27,27,12,4,2024,0,5,51
20241228,2024-12-28,28,12,4,2024,1,6,51
20241229,2024-12-29,29,12,4,2024,1,7,52
20241230,2024-12-30,30,12,4,2024,0,1,52
20241231,2024-12-31,31,12,4,2024,0,2,52
20250101,2025-01-01,1,1,1,2025,0,3,0
20250102,2025-01-02,2,1,1,2025,0,4,0
20250103,2025-01-03,3,1,1,2025,0,5,0
20250104,2025-01-04,4,1,1,2025,1,6,0
20250105,2025-01-05,5,1,1,2025,1,7,1
20250106,2025-01-06,6,1,1,2025,0,1,1
20250107,2025-01-07,7,1,1,2025,0,2,1
20250108,2025-01-08,8,1,1,2025,0,3,1
20250109,2025-01-09,9,1,1,2025,0,4,1
20250110,2025-01-10,10,1,1,2025,0,5,1
20250111,2025-01-11,11,1,1,2025,1,6,1
20250112,2025-01-12,12,1,1,2025,1,7,2
20250113,2025-01-13,13,1,1,2025,0,1,2
20250114,2025-01-14,14,1,1,2025,0,2,2
20250115,2025-01-15,15,1,1,2025,0,3,2
20250116,2025-01-16,16,1,1,2025,0,4,2
20250117,2025-01-17,17,1,1,2025,0,5,2
20250118,2025-01-18,18,1,1,2025,1,6,2
20250119,2025-01-19,19,1,1,2025,1,7,3
20250120,2025-01-20,20,1,1,2025,0,1,3
20250121,2025-01-21,21,1,1,2025,0,2,3
20250122,2025-01-22,22,1,1,2025,0,3,3
20250123,2025-01-23,23,1,1,2025,0,4,3
20250124,2025-01-24,24,1,1,2025,0,5,3
20250125,2025-01-25,25,1,1,2025,1,6,3
20250126,2025-01-26,26,1,1,2025,1,7,4
20250127,2025-01-27,27,1,1,2025,0,1,4
20250128,2025-01-28,28,1,1,2025,0,2,4
20250129,2025-01-29,29,1,1,2025,0,3,4
20250130,2025-01-30,30,1,1,2025,0,4,4
20250131,2025-01-31,31,1,1,2025,0,5,4
20250201,2025-02-01,1,2,1,2025,1,6,4
20250202,2025-02-02,2,2,1,2025,1,7,5
20250203,2025-02-03,3,2,1,2025,0,1,5
20250204,2025-02-04,4,2,1,2025,0,2,5
20250205,2025-02-05,5,2,1,2025,0,3,5
20250206,2025-02-06,6,2,1,2025,0,4,5
20250207,2025-02-07,7,2,1,2025,0,5,5
20250208,2025-02-08,8,2,1,2025,1,6,5
20250209,2025-02-09,9,2,1,2025,1,7,6
20250210,2025-02-10,10,2,1,2025,0,1,6
20250211,2025-02-11,11,2,1,2025,0,2,6
20250212,2025-02-12,12,2,1,2025,0,3,6
20250213,2025-02-13,13,2,1,2025,0,4,6
20250214,2025-02-14,14,2,1,2025,0,5,6
20250215,2025-02-15,15,2,1,2025,1,6,6
20250216,2025-02-16,16,2,1,2025,1,7,7
20250217,2025-02-17,17,2,1,2025,0,1,7
20250218,2025-02-18,18,2,1,2025,0,2,7
20250219,2025-02-19,19,2,1,2025,0,3,7
20250220,2025-02-20,20,2,1,2025,0,4,7
20250221,2025-02-21,21,2,1,2025,0,5,7
20250222,2025-02-22,22,2,1,2025,1,6,7
20250223,2025-02-23,23,2,1,2025,1,7,8
20250224,2025-02-24,24,2,1,2025,0,1,8
20250225,2025-02-25,25,2,1,2025,0,2,8
20250226,2025-02-26,26,2,1,2025,0,3,8
20250227,2025-02-27,27,2,1,2025,0,4,8
20250228,2025-02-28,28,2,1,2025,0,5,8
20250301,2025-03-01,1,3,1,2025,1,6,8
