RemediationActivityId,CveId,DeviceId,StartDateKey,CompletionDateKey,RemediationStatus,AssignedTo,Priority,DaysOpen
ra-0168,CVE-2023-1955,device-0056,20240803,20240821.0,Completed,Alice Williams,High,18
ra-0169,CVE-2021-8629,device-0038,20240330,,In Progress,Jane Doe,Low,336
ra-0170,CVE-2023-2555,device-0085,20240801,20240813.0,Completed,David Brown,High,12
ra-0171,CVE-2024-5242,device-0068,20240914,20241012.0,Completed,Bob Johnson,Medium,28
ra-0172,CVE-2024-5805,device-0040,20240216,20240316.0,Completed,John Smith,High,29
ra-0173,CVE-2024-9182,device-0027,20241207,20250117.0,Completed,Alice Williams,Critical,41
ra-0174,CVE-2023-6409,device-0088,20240626,,Planned,Bob Johnson,High,248
ra-0175,CVE-2024-4374,device-0006,20240908,20240923.0,Completed,Jane Doe,Medium,15
ra-0176,CVE-2022-5005,device-0089,20241211,,In Progress,Jane Doe,High,80
ra-0177,CVE-2023-9676,device-0076,20240127,20240206.0,Completed,John Smith,High,10
ra-0178,CVE-2024-3672,device-0022,20240827,20240920.0,Completed,Alice Williams,High,24
ra-0179,CVE-2021-3854,device-0042,20240919,20241009.0,Completed,John Smith,High,20
ra-0180,CVE-2023-7294,device-0012,20241224,20250110.0,Completed,Jane Doe,Medium,17
ra-0181,CVE-2023-5114,device-0007,20240422,,Not Started,Alice Williams,Low,313
ra-0182,CVE-2021-6238,device-0001,20240712,20240820.0,Completed,David Brown,Low,39
ra-0183,CVE-2020-1575,device-0011,20240811,20240908.0,Completed,Alice Williams,Medium,28
ra-0184,CVE-2021-2591,device-0049,20250121,20250128.0,Completed,David Brown,Medium,7
ra-0185,CVE-2023-6409,device-0033,20240814,,In Progress,Bob Johnson,High,199
ra-0186,CVE-2024-1669,device-0049,20241210,,Planned,John Smith,Medium,81
ra-0187,CVE-2021-6476,device-0078,20241014,,Planned,Jane Doe,Medium,138
ra-0188,CVE-2023-3305,device-0019,20240314,20240407.0,Completed,Alice Williams,High,24
ra-0189,CVE-2020-6574,device-0039,20240711,20240715.0,Completed,David Brown,Medium,4
ra-0190,CVE-2023-2080,device-0022,20241025,,In Progress,John Smith,Critical,127
ra-0191,CVE-2020-8361,device-0012,20250118,,In Progress,John Smith,Medium,42
ra-0192,CVE-2021-2932,device-0012,20240708,,In Progress,John Smith,Low,236
ra-0193,CVE-2023-4959,device-0095,20240920,20241030.0,Completed,Bob Johnson,Low,40
ra-0194,CVE-2023-3187,device-0043,20241224,20250114.0,Completed,Jane Doe,High,21
ra-0195,CVE-2022-2548,device-0079,20241012,20241031.0,Completed,John Smith,Medium,19
ra-0196,CVE-2021-1270,device-0084,20241226,,In Progress,Bob Johnson,Medium,65
ra-0197,CVE-2020-7748,device-0070,20240321,20240327.0,Completed,Jane Doe,Critical,6
ra-0198,CVE-2023-4808,device-0058,20240811,20240816.0,Completed,Alice Williams,High,5
ra-0199,CVE-2022-4390,device-0093,20240624,20240709.0,Completed,Alice Williams,Low,15
ra-0200,CVE-2021-4267,device-0043,20240215,,Planned,David Brown,Low,380
ra-0201,CVE-2023-1770,device-0008,20240721,,In Progress,John Smith,High,223
ra-0202,CVE-2021-8638,device-0058,20240121,,Not Started,David Brown,Critical,405
ra-0203,CVE-2023-5806,device-0072,20240301,20240410.0,Completed,Bob Johnson,Critical,40
ra-0204,CVE-2020-9365,device-0064,20240501,20240609.0,Completed,Alice Williams,Low,39
ra-0205,CVE-2020-7731,device-0004,20240422,,In Progress,David Brown,Critical,313
ra-0206,CVE-2021-1630,device-0031,20240827,,Planned,Jane Doe,High,186
ra-0207,CVE-2024-5805,device-0011,20240830,20241007.0,Completed,Alice Williams,High,38
ra-0208,CVE-2022-3242,device-0010,20241007,20241029.0,Completed,Bob Johnson,Medium,22
ra-0209,CVE-2024-3547,device-0098,20240810,,In Progress,Alice Williams,High,203
ra-0210,CVE-2023-4959,device-0097,20240104,20240108.0,Completed,Alice Williams,Low,4
ra-0211,CVE-2022-1040,device-0008,20240320,,In Progress,John Smith,Medium,346
ra-0212,CVE-2023-7294,device-0044,20240210,20240229.0,Completed,David Brown,Medium,19
ra-0213,CVE-2023-1364,device-0002,20241019,20241104.0,Completed,David Brown,Low,16
ra-0214,CVE-2023-4054,device-0051,20241123,,Not Started,Jane Doe,Medium,98
ra-0215,CVE-2022-1264,device-0068,20240809,20240825.0,Completed,Jane Doe,High,16
ra-0216,CVE-2023-4808,device-0046,20240926,,In Progress,David Brown,High,156
ra-0217,CVE-2023-3645,device-0063,20240721,20240822.0,Completed,Bob Johnson,High,32
ra-0218,CVE-2020-5017,device-0021,20240610,20240622.0,Completed,John Smith,Medium,12
ra-0219,CVE-2023-8295,device-0044,20240318,,Not Started,Jane Doe,Critical,348
ra-0220,CVE-2021-9467,device-0017,20240726,,Planned,Jane Doe,Low,218
ra-0221,CVE-2021-9070,device-0068,20241206,20250119.0,Completed,Alice Williams,Medium,44
ra-0222,CVE-2020-4186,device-0092,20241020,,In Progress,Bob Johnson,Low,132
ra-0223,CVE-2020-2772,device-0050,20240119,,In Progress,John Smith,Critical,407
ra-0224,CVE-2022-7012,device-0012,20240707,20240810.0,Completed,Bob Johnson,Critical,34
ra-0225,CVE-2024-9599,device-0047,20240823,20240902.0,Completed,Jane Doe,Critical,10
ra-0226,CVE-2024-1074,device-0070,20241108,,Not Started,Jane Doe,Medium,113
ra-0227,CVE-2024-5357,device-0003,20240916,20241030.0,Completed,David Brown,Low,44
ra-0228,CVE-2020-4471,device-0060,20241126,20241209.0,Completed,Alice Williams,Low,13
ra-0229,CVE-2023-9143,device-0024,20240424,20240512.0,Completed,Alice Williams,Medium,18
ra-0230,CVE-2022-4638,device-0043,20240521,20240523.0,Completed,Jane Doe,Medium,2
ra-0231,CVE-2024-5805,device-0076,20240527,20240701.0,Completed,John Smith,Medium,35
ra-0232,CVE-2022-1264,device-0099,20240224,20240404.0,Completed,David Brown,High,40
ra-0233,CVE-2021-9554,device-0001,20241206,20250117.0,Completed,David Brown,High,42
ra-0234,CVE-2022-4778,device-0052,20241231,20250123.0,Completed,John Smith,Medium,23
ra-0235,CVE-2023-4808,device-0066,20240111,20240215.0,Completed,Bob Johnson,Medium,35
ra-0236,CVE-2024-7099,device-0030,20241213,20250114.0,Completed,Alice Williams,High,32
ra-0237,CVE-2020-8094,device-0074,20241213,,Planned,Jane Doe,Medium,78
ra-0238,CVE-2024-2749,device-0033,20240815,,In Progress,David Brown,Medium,198
ra-0239,CVE-2022-5263,device-0065,20240506,,Planned,Jane Doe,High,299
ra-0240,CVE-2021-9712,device-0037,20240701,,In Progress,John Smith,Medium,243
ra-0241,CVE-2024-8479,device-0042,20240405,20240511.0,Completed,Alice Williams,Low,36
ra-0242,CVE-2021-8629,device-0057,20241121,,In Progress,Alice Williams,Medium,100
ra-0243,CVE-2024-9125,device-0093,20240404,20240408.0,Completed,Jane Doe,Medium,4
ra-0244,CVE-2020-8094,device-0068,20241121,,In Progress,John Smith,Medium,100
ra-0245,CVE-2023-4054,device-0099,20240905,,Not Started,Bob Johnson,Medium,177
ra-0246,CVE-2023-4054,device-0036,20240323,,Not Started,John Smith,Medium,343
ra-0247,CVE-2021-6341,device-0080,20240506,20240517.0,Completed,Jane Doe,Critical,11
ra-0248,CVE-2020-7588,device-0086,20240307,,In Progress,Jane Doe,Low,359
ra-0249,CVE-2020-8094,device-0019,20240704,,In Progress,Jane Doe,Low,240
ra-0250,CVE-2022-8480,device-0028,20241217,,Not Started,David Brown,Critical,74
ra-0251,CVE-2020-7732,device-0022,20240219,20240223.0,Completed,Alice Williams,Critical,4
ra-0252,CVE-2024-1687,device-0066,20241206,20241210.0,Completed,John Smith,Medium,4
ra-0253,CVE-2022-2124,device-0069,20240514,20240515.0,Completed,Bob Johnson,Low,1
ra-0254,CVE-2024-4750,device-0025,20240620,20240703.0,Completed,Alice Williams,Low,13
ra-0255,CVE-2023-3743,device-0058,20240618,,In Progress,John Smith,Low,256
ra-0256,CVE-2024-7683,device-0038,20240210,20240318.0,Completed,John Smith,Medium,37
ra-0257,CVE-2020-4186,device-0044,20241217,,In Progress,Jane Doe,Low,74
ra-0258,CVE-2021-6482,device-0073,20250116,20250208.0,Completed,Jane Doe,Medium,23
ra-0259,CVE-2024-5090,device-0016,20241216,20250113.0,Completed,David Brown,Critical,28
ra-0260,CVE-2024-8479,device-0014,20241222,,In Progress,Jane Doe,Low,69
ra-0261,CVE-2020-8094,device-0052,20240528,20240530.0,Completed,David Brown,Medium,2
ra-0262,CVE-2021-9033,device-0043,20240323,,Planned,Alice Williams,High,343
ra-0263,CVE-2021-2290,device-0035,20241204,20250103.0,Completed,Alice Williams,Medium,30
ra-0264,CVE-2023-6102,device-0012,20240725,20240803.0,Completed,Alice Williams,High,9
ra-0265,CVE-2020-7980,device-0002,20240119,20240228.0,Completed,John Smith,Medium,40
ra-0266,CVE-2021-6347,device-0045,20240522,20240615.0,Completed,David Brown,Low,24
ra-0267,CVE-2020-7124,device-0050,20240303,,Planned,John Smith,Medium,363
ra-0268,CVE-2024-5805,device-0005,20240725,20240805.0,Completed,Jane Doe,High,11
ra-0269,CVE-2024-1669,device-0096,20241201,20250103.0,Completed,David Brown,Medium,33
ra-0270,CVE-2021-3834,device-0056,20241026,,Not Started,David Brown,Medium,126
ra-0271,CVE-2021-2750,device-0099,20240528,20240618.0,Completed,David Brown,Medium,21
ra-0272,CVE-2020-7588,device-0005,20240313,20240327.0,Completed,John Smith,Low,14
ra-0273,CVE-2024-3672,device-0033,20240225,,In Progress,Alice Williams,Medium,370
ra-0274,CVE-2022-8480,device-0001,20240805,,Not Started,Jane Doe,Critical,208
ra-0275,CVE-2021-1775,device-0069,20240530,20240629.0,Completed,David Brown,Low,30
ra-0276,CVE-2023-8062,device-0095,20241031,20241214.0,Completed,Bob Johnson,Critical,44
ra-0277,CVE-2024-8479,device-0030,20250125,,Not Started,Alice Williams,Low,35
ra-0278,CVE-2021-2980,device-0043,20240216,20240319.0,Completed,Bob Johnson,High,32
ra-0279,CVE-2022-2548,device-0044,20240714,,In Progress,Alice Williams,Medium,230
ra-0280,CVE-2020-5744,device-0095,20240720,20240811.0,Completed,John Smith,High,22
ra-0281,CVE-2022-9946,device-0078,20240927,,In Progress,Alice Williams,Low,155
ra-0282,CVE-2021-9070,device-0041,20240831,20240911.0,Completed,David Brown,Low,11
ra-0283,CVE-2021-8629,device-0018,20240902,20240926.0,Completed,Jane Doe,Low,24
ra-0284,CVE-2024-3672,device-0054,20240719,,In Progress,Alice Williams,Medium,225
ra-0285,CVE-2021-2932,device-0007,20250119,20250224.0,Completed,David Brown,Low,36
ra-0286,CVE-2023-3645,device-0049,20240124,,Planned,David Brown,High,402
ra-0287,CVE-2023-3645,device-0029,20240101,,In Progress,Bob Johnson,Medium,425
ra-0288,CVE-2024-1139,device-0088,20241214,20241230.0,Completed,Alice Williams,Medium,16
ra-0289,CVE-2022-5263,device-0081,20240610,20240703.0,Completed,John Smith,High,23
ra-0290,CVE-2023-2555,device-0047,20240528,20240628.0,Completed,David Brown,High,31
ra-0291,CVE-2022-4638,device-0089,20241208,,Planned,Jane Doe,Medium,83
ra-0292,CVE-2024-5557,device-0071,20240411,20240513.0,Completed,Jane Doe,Low,32
ra-0293,CVE-2021-8569,device-0048,20240818,,Not Started,Bob Johnson,Medium,195
ra-0294,CVE-2020-4471,device-0094,20250118,,Not Started,Jane Doe,Low,42
ra-0295,CVE-2022-2356,device-0098,20240918,20240923.0,Completed,Bob Johnson,Medium,5
ra-0296,CVE-2024-1294,device-0042,20240426,20240502.0,Completed,John Smith,Low,6
ra-0297,CVE-2021-2435,device-0070,20250117,,Planned,Bob Johnson,Medium,43
ra-0298,CVE-2022-7591,device-0068,20240130,20240218.0,Completed,Alice Williams,Critical,19
ra-0299,CVE-2023-7294,device-0054,20241130,20250113.0,Completed,David Brown,Medium,44
